,2014_Positive,2014_Negative,2014_Unkown,2015_Positive,2015_Negative,2015_Unkown,2016_Positive,2016_Negative,2016_Unkown,2017_Positive,2017_Negative,2017_Unkown,2018_Positive,2018_Negative,2018_Unkown,2019_Positive,2019_Negative,2019_Unkown,2020_Positive,2020_Negative,2020_Unkown,2021_Opportunity,2021_Problem,2021_Equally,2021_Neither,2021_Unkown,2022_Worried,2022_Not_Worried,2022_Unkown,2023_Positive,2023_Negative,2023_Unknown,Assylum_Apps_2014,Assylum_Apps_2015,Assylum_Apps_2016,Assylum_Apps_2017,Assylum_Apps_2018,Assylum_Apps_2019,Assylum_Apps_2020,Assylum_Apps_2021,Assylum_Apps_2022,Assylum_Apps_2023
BELGIUM,30,67,3,34,64,2,39,59,2,44,54,2,46,52,2,48,50,2,53,44,3,22,33,39,6,0,73,26,1,43,55,2,14045,38990,14250,14035,18130,23105,12905,19545,32100,29260
BULGARIA,23,66,11,20,70,10,15,77,8,21,71,8,15,74,11,22,68,10,24,67,9,9,49,26,9,7,72,26,2,30,60,10,10805,20160,18990,3470,2465,2075,3460,10890,20260,22390
CZECHIA,18,74,8,14,81,5,14,82,4,15,81,4,10,86,4,21,74,5,20,76,4,10,48,35,7,0,76,24,0,14,81,5,905,1235,1200,1140,1350,1570,790,1055,1335,1130
DENMARK,42,52,6,29,62,9,31,63,6,30,62,8,30,62,8,39,52,9,44,48,8,21,31,39,8,1,37,62,1,47,46,7,14535,20825,6055,3125,3465,2605,1420,1995,4475,2355
GERMANY,29,61,10,35,58,7,40,53,7,40,53,7,40,53,7,48,43,9,49,43,8,26,27,43,3,1,64,35,1,38,53,9,172945,441805,722270,198255,161885,142450,102525,148175,217735,329035
ESTONIA,19,71,10,12,81,7,14,81,5,17,76,7,17,76,7,19,74,7,20,80,0,10,46,37,5,2,63,35,2,20,73,7,145,225,150,180,90,100,45,75,2940,3980
IRELAND,46,48,6,49,44,7,57,38,5,58,37,5,59,35,6,73,22,5,70,30,0,41,19,33,6,1,65,34,1,65,29,6,1440,3270,2235,2910,3655,4740,1535,2615,13645,13220
GREECE,23,75,2,24,75,1,27,70,3,21,76,3,20,77,3,25,72,3,25,71,4,3,60,26,10,1,86,13,1,20,78,2,7585,11370,49875,56940,64975,74910,37860,22660,29125,57895
SPAIN,48,42,10,53,38,9,52,36,12,58,34,8,54,37,9,66,25,9,69,23,8,29,20,39,10,2,73,26,1,65,29,6,5460,14600,15570,33035,52730,115175,86380,62050,116135,160460
FRANCE,35,58,7,30,64,6,35,57,8,34,58,8,38,54,8,42,48,10,39,50,11,16,39,31,12,2,64,34,2,42,49,9,58845,70570,76790,91965,126580,138290,81735,103790,137510,145095
CROATIA,48,41,11,41,53,6,41,53,6,42,52,6,34,59,7,47,48,5,50,45,5,21,27,40,11,1,71,29,0,39,55,6,380,140,2150,880,675,1265,1540,2480,2660,1635
ITALY,18,75,7,26,66,8,24,69,7,32,59,9,30,66,4,41,51,8,36,55,9,22,26,43,9,0,83,16,1,44,50,6,63655,82790,121185,126550,53440,35005,21330,45200,77200,130565
CYPRUS,23,75,2,26,70,4,22,75,3,29,71,0,20,75,5,29,67,4,29,65,6,10,61,23,6,0,93,7,0,22,75,3,1480,2105,2840,4475,7610,12695,7065,13260,21590,11660
LATVIA,16,79,5,10,86,4,14,83,3,14,81,5,15,78,7,22,74,4,28,67,5,7,56,31,6,0,59,39,2,23,69,8,365,330,345,355,175,180,145,580,545,1625
LITHUANIA,32,61,7,19,76,5,26,71,3,35,62,3,29,66,5,43,54,3,40,56,4,9,60,25,6,0,71,28,1,33,63,4,385,275,415,520,385,625,260,3905,905,510
LUXEMBOURG,44,52,4,41,52,7,49,46,5,50,42,8,56,34,10,60,32,8,52,48,0,39,19,35,6,1,59,37,4,61,33,6,1030,2360,2065,2320,2225,2200,1295,1365,2405,2615
HUNGARY,28,67,5,16,82,2,15,81,4,19,77,4,21,75,4,33,63,4,22,72,6,22,48,25,4,1,75,25,0,20,76,4,41215,174435,28215,3115,635,465,90,40,45,30
MALTA,21,73,6,21,73,6,23,69,8,21,71,8,28,65,7,21,71,8,17,79,4,12,51,32,4,1,92,7,1,22,76,2,1275,1695,1735,1610,2035,4015,2410,1200,915,490
NETHERLANDS,46,50,4,42,54,4,44,53,3,45,51,4,43,52,5,47,48,5,53,44,3,21,33,42,4,0,58,41,1,49,48,3,21780,43035,19285,16090,20465,22485,13660,24730,35500,38320
AUSTRIA,35,56,9,31,64,5,36,56,8,38,56,6,42,51,7,46,47,7,39,53,8,18,35,39,7,1,74,25,1,35,56,9,25675,85505,39875,22455,11580,10985,13400,37800,109775,55605
POLAND,39,44,17,26,62,12,28,64,8,24,68,8,27,64,9,41,52,7,42,48,10,26,30,34,9,1,77,22,1,45,47,8,5610,10255,9780,3005,2405,2765,1510,6240,7700,7720
PORTUGAL,47,44,9,42,50,8,48,44,8,50,40,10,47,44,9,58,34,8,55,29,16,24,22,47,4,3,81,15,4,53,41,6,440,870,710,1015,1240,1735,900,1350,1975,2600
ROMANIA,47,38,15,34,54,12,35,59,6,34,57,9,40,50,10,52,40,8,52,40,8,21,22,34,18,5,56,42,2,53,39,8,1500,1225,1855,4700,1945,2455,6025,9065,12065,9875
SLOVENIA,33,61,6,21,76,3,28,68,4,31,66,3,22,75,3,32,65,3,34,63,3,17,40,33,10,0,62,37,1,29,70,1,355,260,1265,1435,2800,3615,3465,5220,6645,7185
SLOVAKIA,20,74,6,11,86,3,17,79,4,18,77,5,13,81,6,16,76,8,19,76,5,9,41,44,4,2,73,26,1,20,75,5,230,270,100,150,155,215,265,330,500,370
FINLAND,44,51,5,31,64,5,38,59,3,38,57,5,40,57,3,45,50,5,40,60,0,23,28,45,3,1,52,46,2,46,46,8,3490,32150,5275,4330,2950,2445,1445,1355,4815,4450
SWEDEN,72,25,3,70,27,3,64,34,2,65,32,3,67,29,4,65,31,4,66,33,1,31,31,34,3,1,45,53,2,67,30,3,74980,156115,22335,22190,18075,23125,13595,9015,13180,8945
GREAT BRITAIN,38,57,5,39,55,6,49,43,8,53,42,5,62,29,9,62,27,11,,,,,,,,,,,,,,,32120,39720,39240,34355,38400,44250,,,,
EU,35,57,8,34,59,7,37,56,7,39,54,7,40,53,7,48,44,8,44,48,8,22,31,38,8,1,70,29,1,43,50,7,530560,1216860,1166815,620265,564115,631285,417070,535985,873680,1049020